case_id,profile_fixture_id,profile_archetype_id,behavior,target_source_ids,target_titles,query_style,raw_query,lesson_difficulty,lab_difficulty,assessment_difficulty,assessment_blueprint,lab_shape,counterfactual_group_id,dynamic_action,manual_review_focus,tags
KB26-M-P01-01,P01,humanities-zero-course,explain,K001,Python 是什么,structured,请围绕“Python 是什么”安排一次个性化学习，目标是解释并识别；需要讲义、可运行代码实验和正式分阶测评。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K001,,lesson,explain|single_target|structured
KB26-M-P01-02,P01,humanities-zero-course,explain,K002,变量与赋值,colloquial,我在“变量与赋值”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K002,,lab,explain|single_target|colloquial
KB26-M-P01-03,P01,humanities-zero-course,explain,K003,基本数据类型,goal_oriented,为了独立完成 Python 入门课程中的基础练习，我需要掌握基本数据类型，请按我现在的基础把任务安排到能解释并识别。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K003,,assessment,explain|single_target|goal_oriented
KB26-M-P01-04,P01,humanities-zero-course,explain,K004,输入输出,fragmentary,输入输出；解释并识别；例子、在线练习、测验都要。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K004,,lesson,explain|single_target|fragmentary
KB26-M-P01-05,P01,humanities-zero-course,explain,K005,运算符,mixed_language,想学 运算符，please help me 解释并识别，需要 runnable lab、边界说明和 short assessment。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K005,,lab,explain|single_target|mixed_language
KB26-M-P01-06,P01,humanities-zero-course,explain,K006,条件判断,typo_noisy,条件判断这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K006,,assessment,explain|single_target|typo_noisy
KB26-M-P01-07,P01,humanities-zero-course,explain,K007,for 循环,structured,请围绕“for 循环”安排一次个性化学习，目标是解释并识别；需要讲义、可运行代码实验和正式分阶测评。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K007,,lesson,explain|single_target|structured
KB26-M-P01-08,P01,humanities-zero-course,explain,K008,while 循环,colloquial,我在“while 循环”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K008,,lab,explain|single_target|colloquial
KB26-M-P01-09,P01,humanities-zero-course,explain,K009,列表,goal_oriented,为了独立完成 Python 入门课程中的基础练习，我需要掌握列表，请按我现在的基础把任务安排到能解释并识别。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K009,,assessment,explain|single_target|goal_oriented
KB26-M-P01-10,P01,humanities-zero-course,explain,K010,字典,fragmentary,字典；解释并识别；例子、在线练习、测验都要。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K010,,lesson,explain|single_target|fragmentary
KB26-M-P02-01,P02,vocational-applied-basic,explain,K011,元组与集合,mixed_language,想学 元组与集合，please help me 解释并识别，需要 runnable lab、边界说明和 short assessment。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K011,,lab,explain|single_target|mixed_language
KB26-M-P02-02,P02,vocational-applied-basic,explain,K012,字符串常用操作,typo_noisy,字符串常用操作这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,beginner,beginner,beginner,"{""tier_1_count"":3,""tier_2_count"":2,""tier_3_count"":0,""required_modalities"":[""short_answer""]}",guided_completion,CF-K012,,assessment,explain|single_target|typo_noisy
KB26-M-P02-03,P02,vocational-applied-basic,apply,K001,Python 是什么,structured,请围绕“Python 是什么”安排一次个性化学习，目标是在新例子中应用；需要讲义、可运行代码实验和正式分阶测评。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K001,,lesson,apply|single_target|structured
KB26-M-P02-04,P02,vocational-applied-basic,apply,K002,变量与赋值,colloquial,我在“变量与赋值”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K002,,lab,apply|single_target|colloquial
KB26-M-P02-05,P02,vocational-applied-basic,apply,K003,基本数据类型,goal_oriented,为了完成输入、判断、循环类课程实验并通过在线判题，我需要掌握基本数据类型，请按我现在的基础把任务安排到能在新例子中应用。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K003,,assessment,apply|single_target|goal_oriented
KB26-M-P02-06,P02,vocational-applied-basic,apply,K004,输入输出,fragmentary,输入输出；在新例子中应用；例子、在线练习、测验都要。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K004,,lesson,apply|single_target|fragmentary
KB26-M-P02-07,P02,vocational-applied-basic,apply,K005,运算符,mixed_language,想学 运算符，please help me 在新例子中应用，需要 runnable lab、边界说明和 short assessment。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K005,,lab,apply|single_target|mixed_language
KB26-M-P02-08,P02,vocational-applied-basic,apply,K006,条件判断,typo_noisy,条件判断这快一直没弄清，帮我按现在水平讲明白，做个能运形的练习，再出测验。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K006,,assessment,apply|single_target|typo_noisy
KB26-M-P02-09,P02,vocational-applied-basic,apply,K007,for 循环,structured,请围绕“for 循环”安排一次个性化学习，目标是在新例子中应用；需要讲义、可运行代码实验和正式分阶测评。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K007,,lesson,apply|single_target|structured
KB26-M-P02-10,P02,vocational-applied-basic,apply,K008,while 循环,colloquial,我在“while 循环”这里总绕不明白，别只讲定义，带我看懂再做一个能跑的练习，最后测一下。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K008,,lab,apply|single_target|colloquial
KB26-M-P03-01,P03,business-data-job-basic,apply,K009,列表,goal_oriented,为了能编写列表、字典、字符串和文件处理脚本，我需要掌握列表，请按我现在的基础把任务安排到能在新例子中应用。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K009,,assessment,apply|single_target|goal_oriented
KB26-M-P03-02,P03,business-data-job-basic,apply,K010,字典,fragmentary,字典；在新例子中应用；例子、在线练习、测验都要。,basic,basic,basic,"{""tier_1_count"":2,""tier_2_count"":2,""tier_3_count"":1,""required_modalities"":[""short_answer"",""code""]}",guided_implementation,CF-K010,,lesson,apply|single_target|fragmentary
