case_id,artifact_kind,candidate_hash,expected_difficulty,basis,reviewer_1,reviewer_1_decision,reviewer_2,reviewer_2_decision,adjudicator,adjudication,rationale
KB26-M-P01-01,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
KB26-M-P01-01,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-01,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P01-02,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
KB26-M-P01-02,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-02,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P01-03,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
KB26-M-P01-03,lab,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=guided_completion;task=sha256:d5a6b99745d03f93e3ee1c59238ac4385df1ccaacd44aaa8b06f0a1c89fc43e6,,,,,,,
KB26-M-P01-03,assessment,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=five_item_tiered;task=sha256:c698195c930205d6abfe6d673e3ba59319340fb888192413702402de2992f56a,,,,,,,
KB26-M-P01-04,lesson,sha256:7327fc4d977fb77898245065a316ef4c1225a755cf71b14e03c13e872f133d46,beginner,behavior=explain;targets=1;shape=analogy_definition_example;task=sha256:9a20d8236e41c42a0f831cc44cf254c6ea52664162bc4f586242cc36631f32e2,,,,,,,
